,alpha,delta,beta,gamma,state,channel,subject
0,0.1091881250702743,0.121636851015051,0.1798476133001233,0.0410913458193906,focused,AF3,subject_5
1,0.0838793144618075,0.0788905231993266,0.0743655758743943,0.0383574775510945,unfocused,AF3,subject_5
2,0.0354583824436464,0.1099829362342272,0.0390202108637292,0.0162417068032942,drowsy,AF3,subject_5
3,1.927218682215054,36.25553144570647,0.8924338366411528,0.2131941098180882,focused,F7,subject_5
4,1.7585385061007297,36.50617065806087,0.5905281132896603,0.1635701286467491,unfocused,F7,subject_5
5,1.4756140167021643,5.884435903941993,0.378232853879426,0.0554163032640669,drowsy,F7,subject_5
6,3.905914241711946,208.40424146294728,0.7847805693639858,0.2789740937574573,focused,F3,subject_5
7,1.3059901764668205,59.02934748746775,0.3305660801109306,0.0851487748110837,unfocused,F3,subject_5
8,0.1507423056317353,1.270578650178619,0.0719132941371208,0.0243060021772905,drowsy,F3,subject_5
9,0.047855178948598,0.3202031262037009,0.058586529052025,0.0222515945212393,focused,FC5,subject_5
10,0.075739006044803,0.1055731616205024,0.0524558776024597,0.0511168517095811,unfocused,FC5,subject_5
11,0.1105210094822669,0.0714658321574996,0.0805953652879296,0.0300098768114887,drowsy,FC5,subject_5
12,0.0815337962133886,0.0660804287598891,0.0473069905876998,0.0168705991137715,focused,T7,subject_5
13,0.0413449594916132,0.027112085826524,0.0507546148904555,0.030030355951747,unfocused,T7,subject_5
14,0.0740405268676987,0.0589695760376427,0.0911056088673384,0.0403229236954726,drowsy,T7,subject_5
15,0.7692151966122744,8.924367996013933,0.5436459430508558,0.1376128737237828,focused,P7,subject_5
16,4.333673861631745,128.26446202528552,1.1002920868899688,0.1722684364895867,unfocused,P7,subject_5
17,1.4340275111850744,3.889935866639623,0.2966978172547865,0.0803542803614494,drowsy,P7,subject_5
18,2.9972607017638486,124.23576547838954,0.8640845633900431,0.3303655685226748,focused,O1,subject_5
19,9.13769519265365,503.00881351511936,1.9868959734044087,0.4276344112570436,unfocused,O1,subject_5
20,1.7671065823610366,10.018723264994495,0.4943950449170638,0.0740872720086817,drowsy,O1,subject_5
21,2.0550103466823573,108.77739069844304,1.10725600614699,0.1889861301518149,focused,O2,subject_5
22,1.2716461553216696,22.282793036661413,0.6718952578763309,0.0839143392831114,unfocused,O2,subject_5
23,3.9731365867432897,203.5137764562455,0.7694792036642795,0.1987443819278153,drowsy,O2,subject_5
24,1.18523125193928,36.60423049672981,0.969070529420936,0.1231684795480915,focused,P8,subject_5
25,1.978075076635207,12.877028193258148,0.6757170521187513,0.1083768999366827,unfocused,P8,subject_5
26,1.7588527167398311,14.41681408045689,0.5935905635897383,0.0907872202986969,drowsy,P8,subject_5
27,0.0455754740380976,1.195506050653411,0.0302264728027428,0.0078379406277711,focused,T8,subject_5
28,0.0477304336193723,0.0591683588991135,0.0295524785262499,0.0085401040448707,unfocused,T8,subject_5
